B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.04269825,0.06408328,0.053303163,0.27378863,0.20023938,0.10890108,0.6740783,0.15515804,0.43086484,-0.11042297,0.4328776,684.0,24.471045,0.1508505,0.9705269,1
0.044713035,0.065878116,0.053337988,0.28355455,0.20517193,0.109434955,0.6833531,0.16038138,0.44306424,-0.11888266,0.45381302,860.0,29.5379,0.7841989,-0.6190575,1
0.042003836,0.061846886,0.0649171,0.23294887,0.20465578,0.12653543,0.5641187,0.06465445,0.29601693,-0.009879833,0.32130346,374.0,21.109941,0.9786635,0.15211765,1
0.03938655,0.06008115,0.05818915,0.24241146,0.19512028,0.11662948,0.61284745,0.1080863,0.35032767,-0.05323901,0.35532674,723.0,28.845526,0.98518,-0.124096505,1
0.039521508,0.060024835,0.05918631,0.2399227,0.19601464,0.118297726,0.60424924,0.10072103,0.33952552,-0.045344576,0.34793687,595.0,29.587978,0.89533013,-0.42436504,1
0.044658206,0.065893345,0.05526275,0.27652666,0.2056971,0.11143275,0.66688055,0.1468811,0.42554426,-0.10345368,0.43447557,612.0,38.28065,-0.8623611,-0.49921826,1
0.042561594,0.06391538,0.04910383,0.28770766,0.19836809,0.104214735,0.7084195,0.18379763,0.4681869,-0.14331216,0.47225142,1065.0,23.787088,-0.7505608,0.6601386,1
0.040285632,0.05980689,0.06396566,0.22865734,0.20064363,0.1264708,0.5628118,0.065254234,0.2877455,-0.008122306,0.31422296,480.0,19.747463,-0.74393755,0.6679853,1
0.042630978,0.06373159,0.058093052,0.25739288,0.2021959,0.115165845,0.63172334,0.12010081,0.38175738,-0.07091559,0.3873754,468.0,22.3184,0.88194025,0.47022024,1
0.04674187,0.06801594,0.06205338,0.26283798,0.21306686,0.1189255,0.61800534,0.10458207,0.37696764,-0.058935523,0.3907549,901.0,18.247887,-0.64777595,-0.64214075,1
0.04197898,0.06347596,0.05106424,0.27794087,0.19760157,0.10607981,0.6895839,0.16894244,0.44753075,-0.12531804,0.4467891,744.0,27.755142,-0.8550546,-0.49395046,1
0.040108215,0.059572805,0.06395837,0.22793908,0.20028868,0.12663402,0.5617751,0.06456938,0.28570998,-0.0071393712,0.31273076,543.0,19.8423,0.41603753,0.8926449,1
0.041213457,0.06284043,0.049929887,0.27802715,0.19525434,0.104468614,0.6955096,0.17489128,0.45375282,-0.1312068,0.44953933,853.0,24.017141,0.8498376,-0.5202463,1
0.042059634,0.06347275,0.047758248,0.28988722,0.19662921,0.10254607,0.7171101,0.19168521,0.4773834,-0.15192465,0.48003766,1096.0,19.697302,0.915509,0.38849518,1
